frame,occluded,err_bx,err_by,err_py,err_vis,h_norm,belief_update_mag,weight_updates,hit_ratio,total_hits,total_misses,gravity,bounce,ball_speed
0,0,0.0,0.0,0.0,0.0,6.256572,6.256572,0,0.0,0,0,0.0,1.0,5.0
100,0,0.417786,0.466618,0.082216,0.067226,5.838243,0.049571,0,0.0,0,0,0.0,1.0,5.0
200,0,0.120962,0.209867,0.060646,0.093304,5.866289,0.090387,1,0.0,0,0,0.0,1.0,5.0
300,0,0.184546,0.11304,0.009699,0.003185,6.092064,0.048152,4,0.0,0,0,0.0,1.0,5.0
400,0,0.20246,0.256319,0.003314,0.003184,5.995137,0.042347,7,0.0,0,0,0.0,1.0,5.0
500,0,0.250334,0.239926,0.021504,0.020971,5.984908,0.04237,11,0.0,0,0,0.0,1.0,5.0
600,0,0.20245,0.323412,0.069752,0.070003,6.012387,0.058092,14,0.0,0,0,0.0,1.0,5.0
700,0,0.229711,0.213066,0.059731,0.049187,5.950644,0.040002,17,0.0,0,0,0.0,1.0,5.0
800,0,0.147109,0.534601,0.050148,0.038391,5.913762,0.035982,21,0.0,0,0,0.0,1.0,5.0
900,0,0.380636,0.163365,0.012404,0.057407,6.036883,0.074123,24,0.0,0,0,0.0,1.0,5.0
1000,0,0.410262,0.347354,0.013951,0.010044,5.94675,0.032472,27,0.0,0,0,0.0,1.0,5.0
1100,0,0.070263,0.214572,0.025216,0.020325,5.944735,0.044893,31,0.0,0,0,0.0,1.0,5.0
1200,0,0.223132,0.174839,0.036771,0.012309,6.178146,0.068311,34,1.0,1,0,0.0,1.0,5.0
1300,0,0.210315,0.470913,0.022792,0.010642,6.13226,0.038787,37,1.0,1,0,0.0,1.0,5.0
1400,0,0.067445,0.12193,0.034768,0.021055,5.996279,0.049121,41,1.0,1,0,0.0,1.0,5.0
1500,0,0.345419,0.260721,0.003569,0.060802,6.253874,0.04007,44,1.0,1,0,0.0,1.0,5.0
1600,0,0.205033,0.000887,0.017595,0.066272,6.334665,0.043493,47,1.0,1,0,0.0,1.0,5.0
1700,0,0.224425,0.053954,0.002982,0.023748,5.997485,0.04963,50,1.0,1,0,0.0,1.0,5.0
1800,0,0.005173,0.071635,0.003062,0.02144,5.93969,0.07355,53,1.0,1,0,0.0,1.0,5.0
1900,0,0.011503,0.099043,0.01223,0.007017,5.996272,0.143887,57,0.0,0,0,0.0,1.0,5.0
2000,0,0.2367,0.343254,0.029767,0.023834,6.354221,0.029947,60,0.0,0,0,0.0,1.0,5.0
2100,0,0.106404,0.049088,0.015512,0.010136,6.001567,0.144896,63,0.0,0,0,0.0,1.0,5.0
2200,0,0.048423,0.071039,0.014394,0.015455,5.98795,0.151873,67,0.0,0,0,0.0,1.0,5.0
2300,0,0.24073,0.344116,0.001397,0.034251,6.253407,0.036116,70,0.0,0,0,0.0,1.0,5.0
2400,0,0.002407,0.180815,0.01766,0.016043,6.220495,0.071953,73,0.0,0,0,0.0,1.0,5.0
2500,0,0.074009,0.089735,0.013484,0.001758,6.008822,0.116375,77,0.0,0,0,0.0,1.0,5.0
2600,0,0.125016,0.361319,0.046043,0.05174,6.544309,0.052254,80,0.0,0,0,0.0,1.0,5.0
2700,0,0.135761,0.08717,0.041635,0.047506,6.146602,0.079056,83,0.0,0,0,0.0,1.0,5.0
2800,0,0.004299,0.19449,0.023827,0.037452,6.18713,0.082201,87,1.0,1,0,0.0,1.0,5.0
2900,0,0.250364,0.225042,0.029487,0.067754,6.335393,0.062566,90,1.0,1,0,0.0,1.0,5.0
3000,0,0.022737,0.059115,0.051917,0.05575,6.08473,0.095095,93,1.0,1,0,0.0,1.0,5.0
3100,0,0.03897,0.006774,0.008907,0.03076,6.151701,1.022356,97,0.0,0,0,0.0,1.0,5.0
3200,0,0.095904,0.095296,0.075418,0.133294,6.386841,0.05784,100,0.0,0,0,0.0,1.0,5.0
3300,0,0.184792,0.285419,0.046104,0.048911,6.499864,0.041755,103,0.0,0,0,0.0,1.0,5.0
3400,0,0.204435,0.003262,0.030837,0.078991,6.485997,0.044198,107,1.0,1,0,0.0,1.0,5.0
3500,0,0.104208,0.070736,0.075445,0.11195,6.344846,0.069148,110,1.0,1,0,0.0,1.0,5.0
3600,0,0.037801,0.022719,0.077778,0.112463,6.36472,0.073468,113,1.0,1,0,0.0,1.0,5.0
3700,0,0.273329,0.206722,0.019511,0.071262,6.479089,0.037385,117,1.0,1,0,0.0,1.0,5.0
3800,0,0.231786,0.196279,0.073099,0.128811,6.570766,0.038436,120,0.0,0,0,0.0,1.0,5.0
3900,0,0.078601,0.140341,0.012923,0.025241,6.319027,0.5001,123,0.0,0,0,0.0,1.0,5.0
4000,0,0.256018,0.11724,0.075284,0.072275,6.396875,0.078562,127,0.0,0,0,0.0,1.0,5.0
4100,0,0.08023,0.108988,0.048755,0.065061,6.384102,0.186555,130,1.0,1,0,0.0,1.0,5.0
4200,0,0.128251,0.087449,0.027656,0.038761,6.527137,0.066612,133,1.0,1,0,0.0,1.0,5.0
4300,0,0.046526,0.25076,0.078699,0.067293,6.513696,0.052642,137,1.0,1,0,0.0,1.0,5.0
4400,0,0.07342,0.040201,0.00784,0.013766,6.56447,0.083229,140,1.0,1,0,0.0,1.0,5.0
4500,0,0.042169,0.10828,0.040747,0.073819,6.60132,0.054425,143,0.0,0,0,0.0,1.0,5.0
4600,0,0.021119,0.143774,0.039906,0.03093,6.308618,0.406741,146,0.0,0,0,0.0,1.0,5.0
4700,0,0.188572,0.247559,0.075473,0.053746,6.527815,0.070274,150,0.0,0,0,0.0,1.0,5.0
4800,0,0.059514,0.052137,0.056357,0.045103,6.578726,0.067278,153,0.0,0,0,0.0,1.0,5.0
4900,0,0.103211,0.089326,0.055295,0.050801,6.686294,0.051036,156,0.0,0,0,0.0,1.0,5.0
5000,0,0.034058,0.058004,0.042943,0.062579,6.467999,0.098352,160,0.0,0,0,0.0,1.0,5.0
5100,0,0.072043,0.128911,0.008166,0.00778,6.458582,0.084815,163,0.0,0,0,0.0,1.0,5.0
5200,0,0.1296,0.08645,0.027448,0.045158,6.536707,0.079942,166,0.0,0,0,0.0,1.0,5.0
5300,0,0.044375,0.04278,0.01816,0.020764,6.436382,0.070508,169,0.0,0,0,0.0,1.0,5.0
5400,0,0.079353,0.109549,0.033534,0.0117,6.368204,0.246378,172,0.0,0,0,0.0,1.0,5.0
5500,0,0.084415,0.069646,0.028291,0.005471,6.450607,0.075545,175,0.0,0,0,0.0,1.0,5.0
5600,0,0.116989,0.018572,0.007303,0.060412,6.597439,0.045329,178,1.0,1,0,0.0,1.0,5.0
