rally_num,frame,outcome,hit_ratio
1,271,miss,0.0
2,355,miss,0.0
3,654,miss,0.0
4,912,miss,0.0
5,1167,hit,1.0
6,1510,miss,0.0
7,1510,hit,0.0
8,1579,hit,1.0
9,1884,miss,0.0
10,1884,hit,0.0
11,2180,miss,0.0
12,2479,miss,0.0
13,2737,hit,1.0
14,3084,miss,0.0
15,3084,hit,0.0
16,3327,miss,0.0
17,3396,hit,1.0
18,3701,miss,0.0
19,3701,hit,0.0
20,4015,hit,1.0
21,4438,miss,0.0
22,4438,hit,0.0
23,4761,miss,0.0
24,5046,miss,0.0
25,5133,miss,0.0
26,5373,miss,0.0
27,5599,hit,1.0
28,5893,hit,1.0
29,6187,hit,1.0
30,6490,hit,1.0
31,7102,miss,0.0
32,7102,hit,0.0
33,7400,hit,1.0
34,8054,miss,0.0
35,8054,hit,0.0
36,8145,miss,0.0
37,8217,hit,1.0
38,8494,miss,0.0
39,8494,hit,0.0
40,8580,hit,1.0
41,8886,hit,1.0
42,9144,miss,0.0
43,9144,hit,0.0
44,9217,hit,1.0
45,9487,hit,1.0
46,9716,miss,0.0
47,9716,hit,0.0
48,9790,hit,1.0
49,10066,hit,1.0
50,10299,miss,0.0
51,10299,hit,0.0
52,10585,miss,0.0
53,10835,hit,1.0
54,11114,miss,0.0
55,11114,hit,0.0
56,11353,hit,1.0
57,11619,miss,0.0
58,11619,hit,0.0
59,11708,hit,1.0
60,12038,hit,1.0
61,12315,miss,0.0
62,12315,hit,0.0
63,12403,miss,0.0
64,12488,miss,0.0
65,12576,miss,0.0
66,12812,miss,0.0
67,13042,miss,0.0
68,13258,hit,1.0
69,13493,hit,1.0
70,13693,miss,0.0
71,13693,hit,0.0
72,13959,miss,0.0
73,14032,hit,1.0
74,14312,miss,0.0
75,14312,hit,0.0
76,14382,hit,1.0
77,14643,hit,1.0
78,14864,miss,0.0
79,14864,hit,0.0
80,14955,miss,0.0
81,15027,hit,1.0
82,15303,miss,0.0
83,15303,hit,0.0
84,15374,hit,1.0
85,15647,miss,0.0
86,15647,hit,0.0
87,15875,hit,1.0
88,16129,miss,0.0
89,16129,hit,0.0
90,16411,hit,1.0
91,16714,hit,1.0
92,16962,hit,1.0
93,17166,hit,1.0
94,17340,miss,0.0
95,17340,hit,0.0
96,17558,hit,1.0
97,17794,hit,1.0
98,17989,hit,1.0
99,18151,hit,1.0
100,18285,hit,1.0
101,18402,miss,0.0
102,18402,hit,0.0
103,18678,hit,1.0
104,18974,hit,1.0
105,19224,miss,0.0
106,19224,hit,0.0
107,19522,hit,1.0
108,19852,miss,0.0
109,19852,hit,0.0
110,19922,hit,1.0
111,20181,hit,1.0
112,20394,hit,1.0
113,20570,hit,1.0
114,20717,hit,1.0
115,20840,hit,1.0
116,20947,miss,0.0
117,20947,hit,0.0
118,21165,hit,1.0
119,21410,miss,0.0
120,21410,hit,0.0
121,21481,hit,1.0
122,21744,hit,1.0
123,21961,hit,1.0
124,22140,hit,1.0
125,22289,hit,1.0
126,22413,hit,1.0
127,22520,miss,0.0
128,22520,hit,0.0
129,22823,hit,1.0
130,23158,miss,0.0
131,23158,hit,0.0
132,23234,hit,1.0
133,23514,hit,1.0
134,23744,hit,1.0
135,23940,miss,0.0
136,23940,hit,0.0
137,24160,hit,1.0
138,24397,hit,1.0
139,24599,miss,0.0
140,24599,hit,0.0
141,24678,hit,1.0
142,24980,miss,0.0
143,24980,hit,0.0
144,25205,miss,0.0
145,25298,hit,1.0
146,25640,hit,1.0
147,25918,hit,1.0
148,26145,hit,1.0
149,26333,hit,1.0
150,26495,miss,0.0
151,26495,hit,0.0
152,26567,hit,1.0
153,26832,hit,1.0
154,27050,hit,1.0
155,27230,hit,1.0
156,27380,hit,1.0
157,27505,hit,1.0
158,27614,miss,0.0
159,27614,hit,0.0
160,27871,hit,1.0
161,28147,hit,1.0
162,28374,hit,1.0
163,28561,hit,1.0
164,28721,miss,0.0
165,28721,hit,0.0
166,28814,hit,1.0
167,29158,hit,1.0
168,29438,hit,1.0
169,29667,hit,1.0
170,29862,miss,0.0
171,29862,hit,0.0
172,30162,hit,1.0
173,30483,hit,1.0
174,30745,hit,1.0
175,30968,miss,0.0
176,30968,hit,0.0
177,31193,hit,1.0
178,31437,hit,1.0
179,31637,hit,1.0
180,31803,hit,1.0
181,31941,hit,1.0
182,32056,hit,1.0
183,32154,hit,1.0
184,32239,miss,0.0
185,32239,hit,0.0
186,32327,miss,0.0
187,32420,hit,1.0
188,32764,hit,1.0
189,33043,hit,1.0
190,33272,hit,1.0
191,33461,hit,1.0
192,33623,miss,0.0
193,33623,hit,0.0
194,33846,hit,1.0
195,34088,hit,1.0
196,34293,miss,0.0
197,34293,hit,0.0
198,34522,hit,1.0
199,34770,hit,1.0
200,34974,hit,1.0
201,35142,hit,1.0
202,35282,hit,1.0
203,35403,miss,0.0
204,35403,hit,0.0
205,35485,hit,1.0
206,35789,hit,1.0
207,36045,miss,0.0
208,36045,hit,0.0
209,36272,miss,0.0
210,36546,hit,1.0
211,36841,hit,1.0
212,37084,hit,1.0
213,37289,miss,0.0
214,37289,hit,0.0
215,37508,hit,1.0
216,37746,hit,1.0
217,37942,hit,1.0
218,38104,hit,1.0
219,38240,hit,1.0
220,38353,hit,1.0
221,38449,hit,1.0
222,38529,hit,1.0
223,38596,hit,1.0
224,38653,hit,1.0
225,38701,hit,1.0
226,38743,miss,0.0
227,38743,hit,0.0
228,38826,hit,1.0
229,39134,hit,1.0
230,39385,hit,1.0
231,39591,hit,1.0
232,39763,hit,1.0
233,39905,hit,1.0
234,40028,miss,0.0
235,40028,hit,0.0
236,40100,hit,1.0
237,40368,hit,1.0
238,40588,hit,1.0
239,40770,hit,1.0
240,40921,hit,1.0
241,41047,hit,1.0
242,41153,hit,1.0
243,41242,hit,1.0
244,41317,hit,1.0
245,41383,miss,0.0
246,41383,hit,0.0
247,41600,hit,1.0
248,41835,hit,1.0
249,42029,hit,1.0
250,42190,hit,1.0
251,42324,hit,1.0
252,42441,miss,0.0
253,42441,hit,0.0
254,42512,hit,1.0
255,42773,hit,1.0
256,42988,hit,1.0
257,43166,hit,1.0
258,43314,hit,1.0
259,43438,hit,1.0
260,43542,hit,1.0
261,43629,hit,1.0
262,43702,hit,1.0
263,43764,hit,1.0
264,43818,miss,0.0
265,43818,hit,0.0
266,44046,hit,1.0
267,44292,hit,1.0
268,44495,hit,1.0
269,44669,miss,0.0
270,44669,hit,0.0
271,44936,hit,1.0
272,45223,hit,1.0
273,45458,hit,1.0
274,45652,hit,1.0
275,45813,hit,1.0
276,45952,miss,0.0
277,45952,hit,0.0
278,46180,hit,1.0
279,46426,hit,1.0
280,46629,hit,1.0
281,46797,hit,1.0
282,46937,hit,1.0
283,47054,hit,1.0
284,47155,miss,0.0
285,47155,hit,0.0
286,47240,hit,1.0
287,47555,hit,1.0
288,47812,hit,1.0
289,48023,hit,1.0
290,48203,miss,0.0
291,48203,hit,0.0
292,48440,hit,1.0
293,48696,hit,1.0
294,48906,hit,1.0
295,49080,hit,1.0
296,49225,hit,1.0
297,49346,hit,1.0
298,49451,miss,0.0
299,49451,hit,0.0
300,49521,hit,1.0
301,49780,hit,1.0
302,49994,hit,1.0
303,50170,hit,1.0
304,50317,hit,1.0
305,50440,hit,1.0
306,50543,hit,1.0
307,50629,hit,1.0
308,50702,hit,1.0
309,50764,hit,1.0
310,50818,miss,0.0
311,50818,hit,0.0
312,51034,hit,1.0
313,51269,hit,1.0
314,51462,hit,1.0
315,51623,hit,1.0
316,51757,hit,1.0
317,51869,hit,1.0
318,51963,hit,1.0
319,52042,hit,1.0
320,52109,hit,1.0
321,52166,hit,1.0
322,52214,hit,1.0
323,52256,miss,0.0
324,52256,hit,0.0
325,52326,hit,1.0
326,52585,hit,1.0
